sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,57.104053020477295,71.66554999351501,0,3388011,11.692137479782104,0.003939628601074219,2.2712109088897705,32.060171604156494,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,35.24638819694519,43.228630781173706,2824,3388009,21.346811771392822,0.05082964897155762,2.1716341972351074,25.792606353759766,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,148.31164264678955,83.27188897132874,3726808,3388009,26.237085580825806,30.135414123535156,119.65728449821472,44.47827649116516,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,91.24192953109741,72.08391904830933,2824,3388009,77.38799047470093,0.05007338523864746,2.156944513320923,41.114609241485596,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,41.47120928764343,52.58426237106323,0,3388011,4.8474555015563965,0.004035234451293945,2.3504111766815186,23.847509622573853,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,56.93322229385376,72.13518691062927,0,3388011,11.973712921142578,0.0039577484130859375,2.290931224822998,32.29292917251587,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,57.48660230636597,72.28258562088013,0,3388011,11.623209953308105,0.0040225982666015625,2.2563345432281494,32.3436005115509,0,0
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.CLUSTERED,90.96405720710754,72.54286932945251,2824,3388009,77.13951063156128,0.049642086029052734,2.199784517288208,41.41900992393494,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,153.83876729011536,108.03461718559265,3726808,3388009,62.941107511520386,24.188329696655273,88.58422327041626,75.1164801120758,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.916420698165894,42.705151081085205,2824,3388009,21.036322593688965,0.049440622329711914,2.1775007247924805,25.688700675964355,0,0
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.NAIVE,157.39449644088745,110.27771329879761,3726808,3388009,57.09989643096924,25.497589826583862,97.99322962760925,76.06909322738647,0,0
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,90.26982522010803,74.17304277420044,2824,3388009,76.47760534286499,0.051825761795043945,2.16290283203125,42.56324243545532,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,148.04974579811096,83.74506139755249,3726808,3388009,25.09989643096924,29.983924627304077,120.66725468635559,45.14535188674927,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.NAIVE,107.17819166183472,102.11637425422668,3726808,3388009,58.78632688522339,15.675829648971558,46.02628993988037,77.63878083229065,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,41.9607195854187,42.6976683139801,2824,3388009,28.150917053222656,0.05534172058105469,2.1370127201080322,25.526838302612305,0,0
