hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
ram,tmpfs,timeit_seek_and_write,6,1000000,500000,2.17596507072
ram,tmpfs,timeit_seek_and_write,7,1000000,500000,2.20465397835
ssd,ext4,timeit_seek_and_write,0,1000000,500000,2.87142300606
ssd,ext4,timeit_seek_and_write,1,1000000,500000,2.88318800926
ssd,ext4,timeit_seek_and_write,2,1000000,500000,2.85811710358
ssd,ext4,timeit_seek_and_write,3,1000000,500000,2.91425395012
ssd,ext4,timeit_seek_and_write,4,1000000,500000,2.87238097191
ssd,ext4,timeit_seek_and_write,5,1000000,500000,2.88534903526
ssd,ext4,timeit_seek_and_write,6,1000000,500000,2.87205004692
ssd,ext4,timeit_seek_and_write,7,1000000,500000,2.9025349617
hdd,ext4,timeit_seek_and_write,0,1000000,500000,3.33880710602
hdd,ext4,timeit_seek_and_write,1,1000000,500000,3.26614618301
hdd,ext4,timeit_seek_and_write,2,1000000,500000,3.27464699745
hdd,ext4,timeit_seek_and_write,3,1000000,500000,3.29824304581
hdd,ext4,timeit_seek_and_write,4,1000000,500000,3.26906013489
hdd,ext4,timeit_seek_and_write,5,1000000,500000,3.28753304482
hdd,ext4,timeit_seek_and_write,6,1000000,500000,3.31131696701
hdd,ext4,timeit_seek_and_write,7,1000000,500000,3.24935913086
ram,tmpfs,timeit_seeks_,0,1000000,0,0.363612890244
ram,tmpfs,timeit_seeks_,1,1000000,0,0.346255064011
ram,tmpfs,timeit_seeks_,2,1000000,0,0.34472489357
ram,tmpfs,timeit_seeks_,3,1000000,0,0.36696100235
ram,tmpfs,timeit_seeks_,4,1000000,0,0.344742059708
ram,tmpfs,timeit_seeks_,5,1000000,0,0.363341093063
ram,tmpfs,timeit_seeks_,6,1000000,0,0.346770048141
ram,tmpfs,timeit_seeks_,7,1000000,0,0.344751834869
ssd,ext4,timeit_seeks_,0,1000000,0,0.386762142181
ssd,ext4,timeit_seeks_,1,1000000,0,0.349617958069
ssd,ext4,timeit_seeks_,2,1000000,0,0.370455980301
ssd,ext4,timeit_seeks_,3,1000000,0,0.34973692894
ssd,ext4,timeit_seeks_,4,1000000,0,0.351833105087
ssd,ext4,timeit_seeks_,5,1000000,0,0.366996049881
ssd,ext4,timeit_seeks_,6,1000000,0,0.349735021591
ssd,ext4,timeit_seeks_,7,1000000,0,0.372167110443
hdd,ext4,timeit_seeks_,0,1000000,0,0.349496126175
hdd,ext4,timeit_seeks_,1,1000000,0,0.357861995697
hdd,ext4,timeit_seeks_,2,1000000,0,0.361984968185
hdd,ext4,timeit_seeks_,3,1000000,0,0.349818944931
hdd,ext4,timeit_seeks_,4,1000000,0,0.37157201767
hdd,ext4,timeit_seeks_,5,1000000,0,0.349748849869
hdd,ext4,timeit_seeks_,6,1000000,0,0.35928106308
hdd,ext4,timeit_seeks_,7,1000000,0,0.358400821686
ram,tmpfs,timeit_seeks_,0,1000000,5000,0.342267990112
ram,tmpfs,timeit_seeks_,1,1000000,5000,0.367535114288
ram,tmpfs,timeit_seeks_,2,1000000,5000,0.341981887817
ram,tmpfs,timeit_seeks_,3,1000000,5000,0.352892875671
